GENE	SYMBOL	GE
ENSDARG00000098880	pclob	Gene Expression
ENSDARG00000057698	ctsd	Gene Expression
ENSDARG00000059398	myef2	Gene Expression
ENSDARG00000036232	trpm7	Gene Expression
ENSDARG00000010758	capn12	Gene Expression
ENSDARG00000056006	olfcq12	Gene Expression
ENSDARG00000091293	dmxl2	Gene Expression
ENSDARG00000014215	cdh13	Gene Expression
ENSDARG00000062476	snapc5	Gene Expression
ENSDARG00000088130	si:dkey-30c15.10	Gene Expression
ENSDARG00000073752	ENSDARG00000073752	Gene Expression
ENSDARG00000031763	smad6b	Gene Expression
ENSDARG00000005355	larp6a	Gene Expression
ENSDARG00000062821	slc6a15	Gene Expression
ENSDARG00000003020	lrrc4.2	Gene Expression
ENSDARG00000091085	lepa	Gene Expression
ENSDARG00000092624	sptbn4b	Gene Expression
ENSDARG00000029635	olfcq13	Gene Expression
ENSDARG00000055751	fosb	Gene Expression
ENSDARG00000056764	hydin	Gene Expression
ENSDARG00000076618	tm2d3	Gene Expression
ENSDARG00000055054	bcl9l	Gene Expression
ENSDARG00000104732	mlycd	Gene Expression
ENSDARG00000012248	rgma	Gene Expression
ENSDARG00000062020	gse1	Gene Expression
ENSDARG00000092774	tars3	Gene Expression
ENSDARG00000093591	si:ch211-282k23.2	Gene Expression
ENSDARG00000068549	olfcq14	Gene Expression
ENSDARG00000020611	ENSDARG00000020611	Gene Expression
ENSDARG00000060687	chd2	Gene Expression
ENSDARG00000004529	zgc:173742	Gene Expression
ENSDARG00000100553	lsm14ab	Gene Expression
ENSDARG00000093781	lrriq1	Gene Expression
ENSDARG00000096826	BX323575.1	Gene Expression
ENSDARG00000011533	sema6dl	Gene Expression
ENSDARG00000010207	smad3b	Gene Expression
ENSDARG00000061328	cdon	Gene Expression
ENSDARG00000025332	rbm28	Gene Expression
ENSDARG00000058571	pdp2	Gene Expression
ENSDARG00000002304	gins2	Gene Expression
ENSDARG00000041921	hsbp1b	Gene Expression
ENSDARG00000068421	ttc9b	Gene Expression
ENSDARG00000096829	blvrb	Gene Expression
ENSDARG00000062824	alx1	Gene Expression
ENSDARG00000017093	emc8	Gene Expression
ENSDARG00000097357	CT027551.1	Gene Expression
ENSDARG00000058587	terb1	Gene Expression
ENSDARG00000115763	olfcq15	Gene Expression
ENSDARG00000074721	rassf9	Gene Expression
ENSDARG00000101085	ss18l2	Gene Expression
ENSDARG00000041170	aagab	Gene Expression
ENSDARG00000105288	ENSDARG00000105288	Gene Expression
ENSDARG00000024314	herpud1	Gene Expression
ENSDARG00000102796	si:ch1073-83b15.1	Gene Expression
ENSDARG00000097473	zgc:113340	Gene Expression
ENSDARG00000057887	nts	Gene Expression
ENSDARG00000007180	slc30a4	Gene Expression
ENSDARG00000030872	cetp	Gene Expression
ENSDARG00000069011	eps8b	Gene Expression
ENSDARG00000041791	mgat4c	Gene Expression
ENSDARG00000062964	si:dkey-246g23.2	Gene Expression
ENSDARG00000042933	bloc1s6	Gene Expression
ENSDARG00000062967	kcng4a	Gene Expression
ENSDARG00000097821	CR933839.1	Gene Expression
ENSDARG00000094522	si:ch211-14c7.2	Gene Expression
ENSDARG00000061763	spata5l1	Gene Expression
ENSDARG00000007383	kcnk6	Gene Expression
ENSDARG00000092903	ENSDARG00000092903	Gene Expression
ENSDARG00000098049	BX248121.1	Gene Expression
ENSDARG00000069537	si:dkey-238c7.16	Gene Expression
ENSDARG00000013775	si:dkey-246g23.4	Gene Expression
ENSDARG00000015476	iqch	Gene Expression
ENSDARG00000095451	si:ch211-196l7.4	Gene Expression
ENSDARG00000095386	pimr179	Gene Expression
ENSDARG00000068250	si:ch211-151h10.2	Gene Expression
ENSDARG00000103826	gpib	Gene Expression
ENSDARG00000058003	wfdc1	Gene Expression
ENSDARG00000056745	necab2	Gene Expression
ENSDARG00000103607	wtip	Gene Expression
ENSDARG00000056396	dusp22a	Gene Expression
ENSDARG00000089627	si:ch211-160d20.5	Gene Expression
ENSDARG00000032970	cox4i1	Gene Expression
ENSDARG00000104251	prdm10	Gene Expression
ENSDARG00000098838	sdr42e1	Gene Expression
ENSDARG00000068709	fam174b	Gene Expression
ENSDARG00000063293	neto2b	Gene Expression
ENSDARG00000061444	ugt5c1	Gene Expression
ENSDARG00000006372	ugt5c2	Gene Expression
ENSDARG00000062448	skor1b	Gene Expression
ENSDARG00000018788	st8sia2	Gene Expression
ENSDARG00000061439	ugt5c3	Gene Expression
ENSDARG00000014634	mbtps1	Gene Expression
ENSDARG00000062445	pias1b	Gene Expression
ENSDARG00000055746	si:ch211-238g23.1	Gene Expression
ENSDARG00000018726	slco3a1	Gene Expression
ENSDARG00000017246	prx	Gene Expression
ENSDARG00000021979	mical3a	Gene Expression
ENSDARG00000017675	utp4	Gene Expression
ENSDARG00000097017	mical3a	Gene Expression
ENSDARG00000097368	si:dkey-244a7.1	Gene Expression
ENSDARG00000005176	zgc:101040	Gene Expression
ENSDARG00000056014	olfcq16	Gene Expression
ENSDARG00000062269	fan1	Gene Expression
ENSDARG00000055672	map3k10	Gene Expression
ENSDARG00000099843	nedd4a	Gene Expression
ENSDARG00000056407	irf8	Gene Expression
ENSDARG00000054864	aplp2	Gene Expression
ENSDARG00000003420	chrna5	Gene Expression
ENSDARG00000069540	si:dkey-30c15.2	Gene Expression
ENSDARG00000068199	pld3	Gene Expression
ENSDARG00000096815	BX901968.1	Gene Expression
ENSDARG00000057167	eif4g2b	Gene Expression
ENSDARG00000035214	olfcq17	Gene Expression
ENSDARG00000061699	sipa1l3	Gene Expression
ENSDARG00000113899	ENSDARG00000113899	Gene Expression
ENSDARG00000056713	pskh1	Gene Expression
ENSDARG00000015399	foxf1	Gene Expression
ENSDARG00000062042	mthfsd	Gene Expression
ENSDARG00000061462	vwa7	Gene Expression
ENSDARG00000100719	uraha	Gene Expression
ENSDARG00000069246	rxfp3.3a3	Gene Expression
ENSDARG00000056531	nutf2	Gene Expression
ENSDARG00000068629	cd151l	Gene Expression
ENSDARG00000069368	nrn1la	Gene Expression
ENSDARG00000012788	foxa3	Gene Expression
ENSDARG00000062266	edc4	Gene Expression
ENSDARG00000038112	si:dkeyp-59c12.1	Gene Expression
ENSDARG00000005468	irf2bp1	Gene Expression
ENSDARG00000061173	st14a	Gene Expression
ENSDARG00000054048	plin1	Gene Expression
ENSDARG00000055920	olfcq18	Gene Expression
ENSDARG00000069250	uacaa	Gene Expression
ENSDARG00000041155	morf4l1	Gene Expression
ENSDARG00000038116	gnrhr4	Gene Expression
ENSDARG00000061480	si:ch211-132b12.1	Gene Expression
ENSDARG00000068407	six9	Gene Expression
ENSDARG00000061691	qpctla	Gene Expression
ENSDARG00000060707	pex11a	Gene Expression
ENSDARG00000019195	vps9d1	Gene Expression
ENSDARG00000100044	prtga	Gene Expression
ENSDARG00000061103	slc19a3b	Gene Expression
ENSDARG00000038121	si:ch211-13k12.2	Gene Expression
ENSDARG00000062483	lyve1b	Gene Expression
ENSDARG00000092709	CU463109.1	Gene Expression
ENSDARG00000101431	gas8	Gene Expression
ENSDARG00000021462	daw1	Gene Expression
ENSDARG00000041802	rnf141	Gene Expression
ENSDARG00000092522	nnt2	Gene Expression
ENSDARG00000024631	nlrc5	Gene Expression
ENSDARG00000093764	si:dkey-145c18.5	Gene Expression
ENSDARG00000042188	ttc38	Gene Expression
ENSDARG00000068406	six5	Gene Expression
ENSDARG00000042703	parp6a	Gene Expression
ENSDARG00000017429	sphkap	Gene Expression
ENSDARG00000095263	si:dkey-145c18.4	Gene Expression
ENSDARG00000041098	barx2	Gene Expression
ENSDARG00000094406	CU633933.1	Gene Expression
ENSDARG00000020841	rbm7	Gene Expression
ENSDARG00000093936	si:dkeyp-1h4.6	Gene Expression
ENSDARG00000068404	tbcb	Gene Expression
ENSDARG00000042189	tspan33b	Gene Expression
ENSDARG00000095674	tmem123	Gene Expression
ENSDARG00000078738	si:dkey-145c18.3	Gene Expression
ENSDARG00000025299	tspan9a	Gene Expression
ENSDARG00000076694	ENSDARG00000076694	Gene Expression
ENSDARG00000032469	ampd3b	Gene Expression
ENSDARG00000099336	mvda	Gene Expression
ENSDARG00000019081	ENSDARG00000019081	Gene Expression
ENSDARG00000099730	pkma	Gene Expression
ENSDARG00000042387	zgc:77752	Gene Expression
ENSDARG00000094946	si:ch211-132b12.2	Gene Expression
ENSDARG00000001976	fkbp16	Gene Expression
ENSDARG00000054632	fli1a	Gene Expression
ENSDARG00000057286	swap70b	Gene Expression
ENSDARG00000093864	wee1	Gene Expression
ENSDARG00000061168	dhx34	Gene Expression
ENSDARG00000098315	cyp1a	Gene Expression
ENSDARG00000002787	tle3a	Gene Expression
ENSDARG00000035273	tmtc2b	Gene Expression
ENSDARG00000007753	cpne2	Gene Expression
ENSDARG00000068566	olfcq19	Gene Expression
ENSDARG00000093811	si:dkeyp-2c8.3	Gene Expression
ENSDARG00000028336	dhdhl	Gene Expression
ENSDARG00000114099	trim35-30	Gene Expression
ENSDARG00000042396	odf3b	Gene Expression
ENSDARG00000074163	zgc:162879	Gene Expression
ENSDARG00000091790	olfcq20	Gene Expression
ENSDARG00000075881	ENSDARG00000075881	Gene Expression
ENSDARG00000068401	yap1	Gene Expression
ENSDARG00000030512	tsnaxip1	Gene Expression
ENSDARG00000052497	zgc:110789	Gene Expression
ENSDARG00000089486	cplx3b	Gene Expression
ENSDARG00000061685	hcn4	Gene Expression
ENSDARG00000053036	olfcr1	Gene Expression
ENSDARG00000078847	si:dkey-238o13.4	Gene Expression
ENSDARG00000068363	si:ch211-132b12.3	Gene Expression
ENSDARG00000079496	bicd1a	Gene Expression
ENSDARG00000073944	si:ch73-386h18.1	Gene Expression
ENSDARG00000068398	cep126	Gene Expression
ENSDARG00000063321	rabl2	Gene Expression
ENSDARG00000079253	plch1	Gene Expression
ENSDARG00000040358	spred3	Gene Expression
ENSDARG00000089060	kcnj1a.5	Gene Expression
ENSDARG00000086248	kcnj1a.3	Gene Expression
ENSDARG00000090635	kcnj1a.4	Gene Expression
ENSDARG00000090866	kcnj1a.2	Gene Expression
ENSDARG00000088484	kcnj1a.6	Gene Expression
ENSDARG00000101471	fgd4a	Gene Expression
ENSDARG00000043864	nptnb	Gene Expression
ENSDARG00000068814	spata2l	Gene Expression
ENSDARG00000095394	si:ch1073-75f15.2	Gene Expression
ENSDARG00000069781	rec114	Gene Expression
ENSDARG00000088549	si:ch1073-390k14.1	Gene Expression
ENSDARG00000097719	CU469514.1	Gene Expression
ENSDARG00000091655	gcsha	Gene Expression
ENSDARG00000041631	psme3ip1	Gene Expression
ENSDARG00000020454	psmd8	Gene Expression
ENSDARG00000013950	pdf	Gene Expression
ENSDARG00000068247	luzp2	Gene Expression
ENSDARG00000026664	uri1	Gene Expression
ENSDARG00000091232	kcnj1a.1	Gene Expression
ENSDARG00000062138	ranbp10	Gene Expression
ENSDARG00000014943	kif23	Gene Expression
ENSDARG00000041581	znf143b	Gene Expression
ENSDARG00000101630	si:dkey-8l13.5	Gene Expression
ENSDARG00000074414	sema4ba	Gene Expression
ENSDARG00000069037	akip1	Gene Expression
ENSDARG00000061014	kcnj5	Gene Expression
ENSDARG00000042530	nup205	Gene Expression
ENSDARG00000092930	si:ch211-132b12.4	Gene Expression
ENSDARG00000087394	tshz3a	Gene Expression
ENSDARG00000063332	shank3a	Gene Expression
ENSDARG00000061159	bicra	Gene Expression
ENSDARG00000020237	mc1r	Gene Expression
ENSDARG00000040362	ehd2b	Gene Expression
ENSDARG00000088750	otogl	Gene Expression
ENSDARG00000062558	rspry1	Gene Expression
ENSDARG00000068208	def8	Gene Expression
ENSDARG00000068372	zgc:158427	Gene Expression
ENSDARG00000078458	ppp1r37	Gene Expression
ENSDARG00000069038	si:ch211-242e8.1	Gene Expression
ENSDARG00000036291	nucb2b	Gene Expression
ENSDARG00000041145	paqr5a	Gene Expression
ENSDARG00000092364	si:ch211-218c6.8	Gene Expression
ENSDARG00000074628	si:dkey-10o6.2	Gene Expression
ENSDARG00000042270	arsa	Gene Expression
ENSDARG00000028943	mtss1la	Gene Expression
ENSDARG00000054259	nat10	Gene Expression
ENSDARG00000102443	shank2a	Gene Expression
ENSDARG00000057239	tph2	Gene Expression
ENSDARG00000093518	CT573204.1	Gene Expression
ENSDARG00000069378	pard6a	Gene Expression
ENSDARG00000069122	si:ch211-216l23.2	Gene Expression
ENSDARG00000099137	BX663503.3	Gene Expression
ENSDARG00000041140	ddb2	Gene Expression
ENSDARG00000069271	kbtbd4	Gene Expression
ENSDARG00000005942	vmn2r1	Gene Expression
ENSDARG00000096320	CR352253.1	Gene Expression
ENSDARG00000100451	olfcs2	Gene Expression
ENSDARG00000063157	mapk8ip2	Gene Expression
ENSDARG00000057218	tbc1d15	Gene Expression
ENSDARG00000099915	p2ry2.1	Gene Expression
ENSDARG00000104927	p2ry2.2	Gene Expression
ENSDARG00000008849	ptprq	Gene Expression
ENSDARG00000104425	p2ry2.3	Gene Expression
ENSDARG00000073824	ENSDARG00000073824	Gene Expression
ENSDARG00000020405	napab	Gene Expression
ENSDARG00000099724	relt	Gene Expression
ENSDARG00000094546	si:ch211-132b12.6	Gene Expression
ENSDARG00000008140	kcnab1a	Gene Expression
ENSDARG00000104241	olfcs1	Gene Expression
ENSDARG00000014165	ssr3	Gene Expression
ENSDARG00000098044	BX663503.2	Gene Expression
ENSDARG00000092142	BX663503.1	Gene Expression
ENSDARG00000042021	mapk12a	Gene Expression
ENSDARG00000069379	zgc:158868	Gene Expression
ENSDARG00000059707	ENSDARG00000059707	Gene Expression
ENSDARG00000060927	si:ch211-136a13.1	Gene Expression
ENSDARG00000061841	tiparp	Gene Expression
ENSDARG00000095732	znf423	Gene Expression
ENSDARG00000093091	iqsec3b	Gene Expression
ENSDARG00000041951	selenoo1	Gene Expression
ENSDARG00000069045	chtf8	Gene Expression
ENSDARG00000018301	si:ch73-186j5.2	Gene Expression
ENSDARG00000101644	ENSDARG00000101644	Gene Expression
ENSDARG00000062178	ripor1	Gene Expression
ENSDARG00000057210	has3	Gene Expression
ENSDARG00000058285	cpt1b	Gene Expression
ENSDARG00000093618	si:dkey-45h7.1	Gene Expression
ENSDARG00000063457	wash1	Gene Expression
ENSDARG00000096365	si:ch211-195m9.3	Gene Expression
ENSDARG00000063167	chkb	Gene Expression
ENSDARG00000041133	rapsn	Gene Expression
ENSDARG00000034001	tango6	Gene Expression
ENSDARG00000068219	b3gnt2l	Gene Expression
ENSDARG00000010445	trabd	Gene Expression
ENSDARG00000068374	si:ch211-132b12.7	Gene Expression
ENSDARG00000034941	si:dkey-224e22.2	Gene Expression
ENSDARG00000041108	ctsh	Gene Expression
ENSDARG00000040505	yif1b	Gene Expression
ENSDARG00000026865	fam107b	Gene Expression
ENSDARG00000011498	si:ch211-212o1.2	Gene Expression
ENSDARG00000069274	ighmbp2	Gene Expression
ENSDARG00000011072	ddx11	Gene Expression
ENSDARG00000068103	cfap45	Gene Expression
ENSDARG00000055250	cntd2	Gene Expression
ENSDARG00000056621	ctcf	Gene Expression
ENSDARG00000096293	BX649612.1	Gene Expression
ENSDARG00000057296	cbln1	Gene Expression
ENSDARG00000054363	si:zfos-464b6.2	Gene Expression
ENSDARG00000040503	sb:cb81	Gene Expression
ENSDARG00000105687	CABZ01070258.1	Gene Expression
ENSDARG00000017126	ilvbl	Gene Expression
ENSDARG00000062506	zc3h18	Gene Expression
ENSDARG00000063019	panx2	Gene Expression
ENSDARG00000018890	snrpa	Gene Expression
ENSDARG00000057491	n4bp1	Gene Expression
ENSDARG00000057180	il17c	Gene Expression
ENSDARG00000039500	si:cabz01090165.1	Gene Expression
ENSDARG00000063026	mlc1	Gene Expression
ENSDARG00000077089	blm	Gene Expression
ENSDARG00000011219	akt2	Gene Expression
ENSDARG00000030871	siah1	Gene Expression
ENSDARG00000063361	si:ch211-1e14.1	Gene Expression
ENSDARG00000098316	BX908386.1	Gene Expression
ENSDARG00000008447	fkbp4	Gene Expression
ENSDARG00000009837	agk	Gene Expression
ENSDARG00000078983	fam118b	Gene Expression
ENSDARG00000039513	ENSDARG00000039513	Gene Expression
ENSDARG00000101438	lonp2	Gene Expression
ENSDARG00000093901	trhr2	Gene Expression
ENSDARG00000068152	malt3	Gene Expression
ENSDARG00000091003	il34	Gene Expression
ENSDARG00000075942	ENSDARG00000075942	Gene Expression
ENSDARG00000063040	btbd11b	Gene Expression
ENSDARG00000100604	olfcw1	Gene Expression
ENSDARG00000067741	itpkcb	Gene Expression
ENSDARG00000062381	dennd11	Gene Expression
ENSDARG00000042518	hipk2	Gene Expression
ENSDARG00000103553	sf3b3	Gene Expression
ENSDARG00000095508	BX649622.1	Gene Expression
ENSDARG00000061124	srpra	Gene Expression
ENSDARG00000041572	zfpm1	Gene Expression
ENSDARG00000104881	olfcg12	Gene Expression
ENSDARG00000011583	cry1b	Gene Expression
ENSDARG00000093269	si:ch73-62b13.1	Gene Expression
ENSDARG00000058939	b4galnt3b	Gene Expression
ENSDARG00000078989	alpk3a	Gene Expression
ENSDARG00000067601	arfgap2	Gene Expression
ENSDARG00000056639	carmil2	Gene Expression
ENSDARG00000099876	BX908401.1	Gene Expression
ENSDARG00000005972	ric8b	Gene Expression
ENSDARG00000017105	vaspb	Gene Expression
ENSDARG00000102234	si:ch211-71n6.4	Gene Expression
ENSDARG00000054301	kti12	Gene Expression
ENSDARG00000069142	aars1	Gene Expression
ENSDARG00000041569	ces2a	Gene Expression
ENSDARG00000103122	olfcg8	Gene Expression
ENSDARG00000105189	olfcg9	Gene Expression
ENSDARG00000042559	tnni1c	Gene Expression
ENSDARG00000093381	tgm2l	Gene Expression
ENSDARG00000069290	bida	Gene Expression
ENSDARG00000012718	wee2	Gene Expression
ENSDARG00000058202	pex16	Gene Expression
ENSDARG00000098482	CR792424.1	Gene Expression
ENSDARG00000026395	rfx4	Gene Expression
ENSDARG00000008936	sec11a	Gene Expression
ENSDARG00000068144	nmba	Gene Expression
ENSDARG00000098225	olfcg7	Gene Expression
ENSDARG00000098546	olfcg6	Gene Expression
ENSDARG00000056628	tmem170a	Gene Expression
ENSDARG00000058292	sephs1	Gene Expression
ENSDARG00000040274	scamp5b	Gene Expression
ENSDARG00000060885	znf592	Gene Expression
ENSDARG00000095086	cfdp1	Gene Expression
ENSDARG00000104552	olfcg1	Gene Expression
ENSDARG00000017058	large2	Gene Expression
ENSDARG00000054272	caprin1b	Gene Expression
ENSDARG00000054451	loxl1	Gene Expression
ENSDARG00000060879	slc28a1	Gene Expression
ENSDARG00000100356	AL844192.1	Gene Expression
ENSDARG00000041595	ces3	Gene Expression
ENSDARG00000068242	cngb1a	Gene Expression
ENSDARG00000041381	arntl2	Gene Expression
ENSDARG00000056525	bcar1	Gene Expression
ENSDARG00000040440	snrpd2	Gene Expression
ENSDARG00000039381	ch25hl1.1	Gene Expression
ENSDARG00000068380	foxg1c	Gene Expression
ENSDARG00000063186	ENSDARG00000063186	Gene Expression
ENSDARG00000068382	pglyrp5	Gene Expression
ENSDARG00000040901	si:dkey-11d18.4	Gene Expression
ENSDARG00000094601	si:ch73-113g13.3	Gene Expression
ENSDARG00000040443	polr2i	Gene Expression
ENSDARG00000078094	lmf2a	Gene Expression
ENSDARG00000056506	si:ch73-113g13.2	Gene Expression
ENSDARG00000026247	insyn1	Gene Expression
ENSDARG00000040902	si:ch73-113g13.1	Gene Expression
ENSDARG00000058306	prpf18	Gene Expression
ENSDARG00000040286	ubl7b	Gene Expression
ENSDARG00000003061	cd276	Gene Expression
ENSDARG00000096262	CU862078.1	Gene Expression
ENSDARG00000002764	miox	Gene Expression
ENSDARG00000025383	arl2bp	Gene Expression
ENSDARG00000097612	si:dkey-24l11.2	Gene Expression
ENSDARG00000068140	si:dkey-24l11.2	Gene Expression
ENSDARG00000062756	pllp	Gene Expression
ENSDARG00000003153	nudt21	Gene Expression
ENSDARG00000095019	lmo2	Gene Expression
ENSDARG00000068138	ch25hl1.2	Gene Expression
ENSDARG00000078875	adm2b	Gene Expression
ENSDARG00000042249	ENSDARG00000042249	Gene Expression
ENSDARG00000094126	si:ch211-202c21.7	Gene Expression
ENSDARG00000057728	slc17a8	Gene Expression
ENSDARG00000074442	alx4b	Gene Expression
ENSDARG00000076050	si:dkey-283j8.1	Gene Expression
ENSDARG00000093233	si:ch211-215d8.2	Gene Expression
ENSDARG00000034753	tspan3a	Gene Expression
ENSDARG00000100607	zbtb38	Gene Expression
ENSDARG00000007982	onecut1	Gene Expression
ENSDARG00000062370	bcl2l13	Gene Expression
ENSDARG00000007990	wt1b	Gene Expression
ENSDARG00000010662	fbxo36a	Gene Expression
ENSDARG00000054978	kifc3	Gene Expression
ENSDARG00000076548	si:dkey-266m15.5	Gene Expression
ENSDARG00000003616	arih1	Gene Expression
ENSDARG00000041599	zgc:91860	Gene Expression
ENSDARG00000040452	fam214a	Gene Expression
ENSDARG00000103317	capn5a	Gene Expression
ENSDARG00000105218	ompa	Gene Expression
ENSDARG00000096323	BX571681.4	Gene Expression
ENSDARG00000042336	impdh1a	Gene Expression
ENSDARG00000060860	pstpip1a	Gene Expression
ENSDARG00000069168	si:dkey-73n10.1	Gene Expression
ENSDARG00000057741	nr1h4	Gene Expression
ENSDARG00000069654	ppp6r2b	Gene Expression
ENSDARG00000032532	arpp19a	Gene Expression
ENSDARG00000040100	si:dkey-95h12.1	Gene Expression
ENSDARG00000092923	si:dkey-95h12.2	Gene Expression
ENSDARG00000039378	rcn2	Gene Expression
ENSDARG00000094415	si:ch211-264e16.2	Gene Expression
ENSDARG00000101159	si:ch73-338a16.3	Gene Expression
ENSDARG00000061397	trip12	Gene Expression
ENSDARG00000093117	si:dkey-266m15.7	Gene Expression
ENSDARG00000010745	dnaja2b	Gene Expression
ENSDARG00000041117	wnt2	Gene Expression
ENSDARG00000033020	ppcdc	Gene Expression
ENSDARG00000068947	si:ch211-264e16.1	Gene Expression
ENSDARG00000004823	asz1	Gene Expression
ENSDARG00000061635	myo5aa	Gene Expression
ENSDARG00000068128	ppp1r15b	Gene Expression
ENSDARG00000100363	dcun1d5	Gene Expression
ENSDARG00000060841	pik3c2a	Gene Expression
ENSDARG00000078508	si:dkey-266m15.6	Gene Expression
ENSDARG00000068951	si:ch211-219a15.4	Gene Expression
ENSDARG00000031095	veph1	Gene Expression
ENSDARG00000068275	ptx3a	Gene Expression
ENSDARG00000041107	cftr	Gene Expression
ENSDARG00000068274	si:ch211-203b8.6	Gene Expression
ENSDARG00000005115	calub	Gene Expression
ENSDARG00000002720	utp15	Gene Expression
ENSDARG00000055124	ccnl1a	Gene Expression
ENSDARG00000040991	cttnbp2	Gene Expression
ENSDARG00000101061	eif2a	Gene Expression
ENSDARG00000060813	plekha7a	Gene Expression
ENSDARG00000022564	ENSDARG00000022564	Gene Expression
ENSDARG00000022437	cd81b	Gene Expression
ENSDARG00000017173	si:dkey-29p10.4	Gene Expression
ENSDARG00000006025	tp53i11b	Gene Expression
ENSDARG00000026070	cd82b	Gene Expression
ENSDARG00000113393	golim4a	Gene Expression
ENSDARG00000111693	CABZ01002690.1	Gene Expression
ENSDARG00000112256	rpp25b	Gene Expression
ENSDARG00000058857	ENSDARG00000058857	Gene Expression
ENSDARG00000059387	fgf7	Gene Expression
ENSDARG00000061031	dner	Gene Expression
ENSDARG00000111043	FO681288.3	Gene Expression
ENSDARG00000110240	kctd14	Gene Expression
ENSDARG00000104126	ccpg1	Gene Expression
ENSDARG00000110183	CABZ01070631.2	Gene Expression
ENSDARG00000002798	cog8	Gene Expression
ENSDARG00000103007	rps3	Gene Expression
ENSDARG00000100141	CR626874.1	Gene Expression
ENSDARG00000098492	olfcd2	Gene Expression
ENSDARG00000040861	tcf25	Gene Expression
ENSDARG00000078123	slitrk3a	Gene Expression
ENSDARG00000116487	CABZ01039304.1	Gene Expression
ENSDARG00000101059	dhx36	Gene Expression
ENSDARG00000055043	depdc7a	Gene Expression
ENSDARG00000113774	BX908388.3	Gene Expression
ENSDARG00000087941	pde8a	Gene Expression
ENSDARG00000112435	CR769778.1	Gene Expression
ENSDARG00000030465	tmem263	Gene Expression
ENSDARG00000068231	ENSDARG00000068231	Gene Expression
ENSDARG00000105011	pigb	Gene Expression
ENSDARG00000007813	rnpepl1	Gene Expression
ENSDARG00000102447	gdpd4a	Gene Expression
ENSDARG00000070472	arf5	Gene Expression
ENSDARG00000101210	glg1b	Gene Expression
ENSDARG00000077007	abcc8b	Gene Expression
ENSDARG00000034168	serpini1	Gene Expression
ENSDARG00000035054	pdcd10a	Gene Expression
ENSDARG00000026072	pdcd5	Gene Expression
ENSDARG00000062915	polr3b	Gene Expression
ENSDARG00000105004	CU896640.1	Gene Expression
ENSDARG00000054584	FO681288.1	Gene Expression
ENSDARG00000024431	ets1	Gene Expression
ENSDARG00000015064	esrrd	Gene Expression
ENSDARG00000074371	tirap	Gene Expression
ENSDARG00000074258	gramd1bb	Gene Expression
ENSDARG00000003795	idh2	Gene Expression
ENSDARG00000113137	BX276107.1	Gene Expression
ENSDARG00000074431	ddb1	Gene Expression
ENSDARG00000103935	rab27a	Gene Expression
ENSDARG00000104637	fam219b	Gene Expression
ENSDARG00000099871	myo7aa	Gene Expression
ENSDARG00000040633	ENSDARG00000040633	Gene Expression
ENSDARG00000111114	BX005470.1	Gene Expression
ENSDARG00000010654	arhgap42b	Gene Expression
ENSDARG00000100875	ENSDARG00000100875	Gene Expression
ENSDARG00000023797	ryr1b	Gene Expression
ENSDARG00000018283	cyba	Gene Expression
ENSDARG00000107077	BX571884.2	Gene Expression
ENSDARG00000112234	endouc	Gene Expression
ENSDARG00000103957	aamdc	Gene Expression
ENSDARG00000111944	CU928071.1	Gene Expression
ENSDARG00000086756	ENSDARG00000086756	Gene Expression
ENSDARG00000098984	pid1	Gene Expression
ENSDARG00000102953	ints4	Gene Expression
ENSDARG00000103288	ENSDARG00000103288	Gene Expression
ENSDARG00000103369	taldo1	Gene Expression
ENSDARG00000040319	CABZ01041494.1	Gene Expression
ENSDARG00000009482	slc38a8a	Gene Expression
ENSDARG00000111261	FO834850.1	Gene Expression
ENSDARG00000112431	LO018598.1	Gene Expression
ENSDARG00000069630	tat	Gene Expression
ENSDARG00000100057	ppfibp1b	Gene Expression
ENSDARG00000100555	aqp11	Gene Expression
ENSDARG00000102249	pepd	Gene Expression
ENSDARG00000111509	dtwd1	Gene Expression
ENSDARG00000038191	smtla	Gene Expression
ENSDARG00000074750	qser1	Gene Expression
ENSDARG00000014680	znf710a	Gene Expression
ENSDARG00000079076	hgfb	Gene Expression
ENSDARG00000068104	CABZ01040999.1	Gene Expression
ENSDARG00000093286	CABZ01039782.1	Gene Expression
ENSDARG00000105882	CABZ01041495.1	Gene Expression
ENSDARG00000101933	ENSDARG00000101933	Gene Expression
ENSDARG00000019484	zdhhc7	Gene Expression
ENSDARG00000069027	admb	Gene Expression
ENSDARG00000101629	CABZ01079192.1	Gene Expression
ENSDARG00000112014	CR387935.1	Gene Expression
ENSDARG00000098732	CU929403.1	Gene Expression
ENSDARG00000103462	dvl3b	Gene Expression
ENSDARG00000054835	ugt5f1	Gene Expression
ENSDARG00000041006	st3gal4	Gene Expression
ENSDARG00000103679	bmp16	Gene Expression
ENSDARG00000114715	CU570893.1	Gene Expression
ENSDARG00000098096	slc12a1	Gene Expression
ENSDARG00000089354	tspan4a	Gene Expression
ENSDARG00000088817	wdr59	Gene Expression
ENSDARG00000112898	st3gal2	Gene Expression
ENSDARG00000098597	CU570791.3	Gene Expression
ENSDARG00000010514	cxcr5	Gene Expression
ENSDARG00000112691	st7	Gene Expression
ENSDARG00000116427	olfcg1	Gene Expression
ENSDARG00000101661	ulk3	Gene Expression
ENSDARG00000098674	ppfia1	Gene Expression
ENSDARG00000115903	ENSDARG00000115903	Gene Expression
ENSDARG00000020085	slc33a1	Gene Expression
